journal_title,publisher,issn,online_issn,year_inception,field_of_research,abdc_rating,abdc_list_version,source_url
American Business Review,University of New Haven,0743-2348,0743-2348,1983,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Economic Journal: Applied Economics,American Economic Association,1945-7782,1945-7790,2009,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Economic Journal: Economic Policy,American Economic Association,1945-7731,1945-774X,2009,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Economic Journal: Macroeconomics,American Economic Association,1945-7707,1945-7715,2009,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Economic Journal: Microeconomics,American Economic Association,1945-7669,1945-7685,2009,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Economic Review: Insights,American Economic Association,2640-205X,2640-2068,2019,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Economist,Sage Publications,0569-4345,2328-1235,1960,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American International Journal of Business and Management Studies,American Center of Science and Education,2641-4937,2641-4953,2019,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Journal of Agricultural Economics,Oxford University Press,0002-9092,1467-8276,1919,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Journal of Business (AJB),Emerald Publishing,1935-519X,1935-5181,1986,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Journal of Comparative Law,Oxford University Press,0002-919X,2326-9197,1951,4801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Journal of Economics and Sociology,Wiley-Blackwell Publishing,0002-9246,1536-7150,1941,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Journal of Evaluation,Sage Publications,1098-2140,1557-0878,1981,3503,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Journal of Finance and Accounting,Inderscience Publishers,1752-7767,1752-7775,2008,3502,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Journal of Health Economics,MIT Press,2332-3493,2332-3507,2015,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Journal of Political Science,Wiley-Blackwell Publishing,0092-5853,1540-5907,1950,3599,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Journal of Public Health,The American Public Health Association,0090-0036,1541-0048,1911,3599,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
