journal_title,publisher,issn,online_issn,year_inception,field_of_research,abdc_rating,abdc_list_version,source_url
Annals of Operations Research,Springer International Publishing,0254-5330,1572-9338,1984,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annals of Probability,Institute of Mathematical Statistics,0091-1798,2168-894X,1973,4905,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annals of Public and Cooperative Economics,Wiley-Blackwell Publishing,1370-4788,1467-8292,1925,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annals of Statistics,Institute of Mathematical Statistics,0090-5364,,1973,4905,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annals of the American Academy of Political and Social Science,Sage Publications,0002-7162,1552-3349,1891,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annals of the Institute of Statistical Mathematics,Springer International Publishing,0020-3157,1572-9052,1949,4905,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annals of Tourism Research,Elsevier,0160-7383,1873-7722,1973,3508,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annals of Tourism Research Empirical Insights,Elsevier,2666-9579,2666-9579,,3508,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annual Editions: Economics,Dushkin Publ. Group,1092-776X,,1971,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annual Review of Banking and Financial Law,Boston University School of Law,1544-4627,,1982,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annual Review of Economics,Annual Reviews,1941-1383,1941-1391,2009,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annual Review of Financial Economics,Annual Reviews,1941-1367,1941-1375,2009,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annual Review of Organizational Psychology and Organizational Behavior,Annual Reviews,2327-0616,,2014,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annual Review of Psychology,Annual Reviews,0066-4308,1545-2085,1950,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annual Review of Resource Economics,Annual Reviews,1941-1340,1941-1359,2009,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annual Review of Sociology,Annual Reviews,0360-0572,1545-2115,1975,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Anti Trust Law Journal,American Bar Association,0003-6056,,1952,4801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Antitrust Bulletin,Sage Publications,0003-603X,1930-7969,1955,4801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Appetite,Elsevier,0195-6663,1095-8304,1980,3506,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Cognitive Psychology,Wiley-Blackwell Publishing,0888-4080,1099-0720,1987,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Econometrics,"Moscow University for Industry and Finance Synergy"" """,1993-7601,2410-6445,2006,3802,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Econometrics and International Development,Euro-American Association of Economic Development Studies,1578-4487,,2001,3802,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Economic Analysis,Emerald Publishing Group,2632-7627,,,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Economic Perspectives and Policy,Oxford University Press,2040-5804,2040-5970,1979,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Economics,Taylor & Francis Online,0003-6846,1466-4283,1969,3801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Economics Letters,Taylor & Francis Online,1350-4851,1466-4291,1994,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Economics Quarterly,Duncker & Humblot Gmbh,1611-6607,1865-5122,1952,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Energy,Elsevier,0306-2619,,1975,3599,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Finance Letters,Auckland University of Technology,2253-5799,2253-5802,2012,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Financial Economics,Taylor & Francis Online,0960-3107,1466-4305,1991,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Health Economics and Health Policy,Springer International Publishing,1175-5652,1179-1896,2002,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Mathematical Finance,Taylor & Francis Online,1350-486X,1466-4313,1994,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Psychological Measurement,Sage Publications,0146-6216,1552-3497,1977,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Psychology: An International Review,Wiley-Blackwell Publishing,0269-994X,1464-0597,1952,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Research in Quality of Life,Springer Nature,1871-2584,1871-2576,,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Applied Stochastic Models in Business and Industry,Wiley-Blackwell Publishing,1524-1904,1526-4025,1985,4905,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Appraisal Journal,Appraisal Institute,0003-7087,,1932,3504,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Aquaculture Economics and Management,Taylor & Francis Online,1365-7305,1551-8663,1997,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Arizona Law Review,HeinOnline,0004-153X,,1959,4801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Arkansas Business and Economic Review,"University of Arkansas, Bureau of Business and Eco",0004-1742,,1933,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Artha-Vikas: a journal of economic development,Sardar Patel University,0004-3567,,1965,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Arts and the Market (formerly Arts Marketing),Emerald Group Publishing,2044-2084,2056-4945,,3506,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
ASEAN Journal on Hospitality and Tourism,Institut Teknologi Bandung,1412-2073,,2002,3508,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia Europe Journal,Springer International Publishing,1610-2932,1612-1031,2003,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia Pacific Business Review,Taylor & Francis Online,1360-2381,1743-792X,1994,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia Pacific Journal of Economics and Business,Taylor & Francis Online,1326-8481,,1997,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia Pacific Journal of Finance,Wiley-Blackwell Publishing,0219-1466,,1998,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia Pacific Journal of Health Management,Australian College of Health Service Executives,1833-3818,1833-3818,2006,3599,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia Pacific Journal of Information Systems,Korea Society of Management Information Systems,2288-5404,2288-6818,1990,4609,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia Pacific Journal of Management,Springer International Publishing,0217-4561,1572-9958,1983,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia Pacific Journal of Marketing and Logistics,Emerald Group Publishing,1355-5855,1758-4248,1988,3506,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia Pacific Journal of Taxation,Hong Kong Polytechnic University,1027-5592,,1997,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia Pacific Journal of Tourism Research,Taylor & Francis Online,1094-1665,1741-6507,1996,3508,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia Pacific Law Review,Taylor & Francis Online,1019-2557,1875-8444,1992,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia Pacific Public Relations Journal,University of Newcastle,1440-4389,1839-8227,1999,3506,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia Pacific Sustainable Development Journal,United Nations ESCAP,1020-1246,,1956,3899,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia-Pacific Financial Markets,Springer International Publishing,1387-2834,1573-6946,1994,3502,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia-Pacific Journal of Accounting and Economics,Taylor & Francis Online,1608-1625,2164-2257,2000,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia-Pacific Journal of Business Administration,Emerald Group Publishing,1757-4323,1757-4331,2009,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia-Pacific Journal of Financial Studies,Wiley-Blackwell Publishing,2041-9945,2041-6156,1980,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia-Pacific Journal of Human Resources,Wiley-Blackwell Publishing,1038-4111,1744-7941,1966,3505,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia-Pacific Journal of Innovation in Hospitality and Tourism,"Taylors' University, Malaysia",2710-6519,,,3508,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia-Pacific Journal of Risk and Insurance,De Gruyter,2194-606X,2153-3792,2005,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia-Pacific Management Accounting Journal,Universiti Teknologi MARA (UiTM) Press,1675-3194,2550-1631,2006,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia-Pacific Management Review,Elsevier,1029-3132,2589-8213,1996,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asia-Pacific Tax Bulletin,International Bureau of Fiscal Documentation,1385-3082,,1983,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Academy of Management Journal,Penerbit Universiti Sains Malaysia,1394-2603,2180-4184,1996,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Academy of Management Journal of Accounting and Finance,Asian Academy of Management / Penerbit Universiti Sains Malaysia,1823-4992,2180-4192,2005,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian and Pacific Economic Review,ya tai jing ji bian ji bu,1000-6052,,1985,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian and Pacific Migration Journal,Sage Publications,0117-1968,2057-049X,1992,3599,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Business and Management,Springer International Publishing,1472-4782,1476-9328,2002,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Development Review,MIT Press,0116-1105,0116-1105,1983,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Economic Journal,Wiley-Blackwell Publishing,1351-3958,1467-8381,1987,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Economic Papers,MIT Press,1535-3516,1536-0083,2002,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Economic Policy Review,Wiley-Blackwell Publishing,1832-8105,1748-3131,2006,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Economics Letters,Asia-Pacific Applied Economics Association,2652-8681,,,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Economies,Ajia Keizai Kenkyujo,0002-2942,,1960,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Journal of Accounting and Governance,Universiti Kebangsaan Malaysia (UKM) Press,2180-3838,,2010,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Journal of Accounting Research,Emerald Group Publishing,2459-9700,2443-4175,2016,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Journal of Agriculture and Development,Southeast Asian Regional Center for Graduate Study and Research in Agriculture,1656-4383,2599-3879,2004,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Journal of Business and Accounting,University of Malaya,1985-4064,2180-3137,,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Journal of Business Ethics,Springer International Publishing,2210-6723,2210-6731,2012,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Journal of Business Research,Asia Business Research Corporation Limited,2463-4522,1178-8933,2011,3506,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Journal of International Law,Cambridge University Press,2044-2513,2044-2521,1997,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Journal of Management Cases,Sage Publications,0972-8201,0973-0621,2004,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Journal of Marketing (SING),"Marketing Institute of Singapore and Faculty of Business Administration, National University of Singapore",0218-6101,,1992,3506,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Journal of Political Science,Taylor & Francis Online,0218-5377,1750-7812,1993,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Journal of Social Science,Elsevier,1568-4849,1568-5314,1973,3599,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Population Studies,Taylor & Francis Online,1744-1730,1744-1749,2005,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Review of Accounting,Emerald Group Publishing,EMERALD GROUP PUBLISHING,1758-8863,1992,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian Survey,University of California Press,0004-4687,1533-838X,2011,3599,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asian-Pacific Economic Literature,Wiley-Blackwell Publishing,0818-9935,1467-8411,1987,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
ASOR Bulletin,Australian Society for Operations Reseach Inc.,0812-860X,1446-6678,1981,3509,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Asper Review of International Business and Trade Law,"University of Manitoba, Faculty of Law",1496-9572,,2001,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
AStA Advances in Statistical Analysis,Springer Nature,1863-8171,1863-818X,1916,4905,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
ASTIN Bulletin,Cambridge University Press,0515-0361,1783-1350,1960,3502,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
ATA Journal of Legal Tax Research,American Accounting Association,1543-866X,,2003,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Atlantic Economic Journal,Springer International Publishing,0197-4254,1573-9678,1973,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Auckland University Law Review,Auckland University Law Students' Society,0067-0510,,1967,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Audit Financiar,Chamber of Financial Auditors in Romania,1583-5812,1844-8801,2003,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Auditing: A Journal of Practice and Theory,American Accounting Association,0278-0380,1558-7991,1981,3501,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Australasian Accounting Business and Finance Journal,University of Wollongong,1834-2000,1834-2019,2007,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Australasian Agribusiness Review,University of New England,1442-6951,,1993,3599,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Australasian Dispute Resolution Journal,Thomson Reuters,1441-7847,1441-7847,1990,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Australasian Journal of Economics Education,University of Queensland,1448-448X,1448-4498,2004,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Australasian Journal of Information Systems,Australasian Association for Information Systems (AAIS),1449-8618,1326-2238,1983,4609,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
